	x	y	frame	particle
4	518.7909545898438	127.78929901123047	21	12
6	522.77685546875	126.53925323486328	22	12
5	1030.4716796875	204.70423889160156	22	15
3	390.4964904785156	293.17529296875	22	13
4	555.475830078125	244.0975341796875	22	11
1	1201.322265625	679.2902221679688	22	9
0	942.4906616210938	683.159912109375	22	14
2	631.8524169921875	624.4979248046875	22	16
0	941.7037963867188	682.6668090820312	23	14
1	629.0169677734375	624.3497314453125	23	16
2	1081.4920654296875	407.676025390625	23	3
3	389.9256896972656	295.15521240234375	23	13
4	557.8683471679688	245.1702117919922	23	11
5	525.9884033203125	126.58150482177734	23	12
6	559.9911499023438	247.64688110351562	24	11
8	527.4623413085938	126.85897064208984	24	12
7	1022.5321044921875	204.0956268310547	24	15
5	389.5714111328125	296.91326904296875	24	13
1	630.2227783203125	623.5641479492188	24	16
3	1082.658203125	406.3264465332031	24	3
2	387.3105773925781	436.10076904296875	24	17
4	997.6363525390625	287.0	24	4
0	940.7413330078125	686.0912475585938	24	14
12	526.6829223632812	128.9437255859375	25	12
11	1028.469482421875	205.82940673828125	25	15
10	561.73193359375	248.6898651123047	25	11
9	390.0063171386719	297.8158264160156	25	13
8	1002.35009765625	289.33544921875	25	4
7	1081.96533203125	406.4591369628906	25	3
5	1057.889404296875	459.5672912597656	25	18
4	1237.1207275390625	469.6627502441406	25	19
3	1274.3753662109375	501.5455322265625	25	20
2	1065.948486328125	513.9315185546875	25	5
1	628.4285278320312	623.3528442382812	25	16
0	938.0365600585938	693.2007446289062	25	14
6	387.310791015625	435.21551513671875	25	17
6	1001.6392211914062	291.5777893066406	26	4
7	528.1790771484375	129.3544464111328	26	12
4	388.06854248046875	435.62359619140625	26	17
5	388.4724426269531	301.6231994628906	26	13
2	1067.0472412109375	518.02587890625	26	5
3	1259.689453125	489.3049011230469	26	20
1	628.2848510742188	622.9969482421875	26	16
0	932.7817993164062	704.2261352539062	26	14
7	443.94830322265625	227.8361053466797	27	21
6	387.482421875	303.00360107421875	27	13
5	1004.88916015625	292.21331787109375	27	4
4	549.92529296875	358.572998046875	27	22
8	527.8878784179688	130.88035583496094	27	12
2	1271.2232666015625	503.3769836425781	27	20
1	627.5460205078125	622.8657836914062	27	16
0	937.0126953125	703.6566162109375	27	14
3	387.8509216308594	435.3829345703125	27	17
0	930.0617065429688	708.6514892578125	28	14
1	626.4169311523438	622.7025146484375	28	16
2	388.0948181152344	438.21929931640625	28	17
3	549.906982421875	358.6397399902344	28	22
4	1006.7902221679688	294.4125061035156	28	4
5	387.2726135253906	304.76580810546875	28	13
6	444.3198547363281	228.1260223388672	28	21
7	530.47314453125	129.42752075195312	28	12
5	1005.9212646484375	295.0253601074219	29	4
6	442.52728271484375	227.34524536132812	29	21
7	533.78076171875	127.93517303466797	29	12
4	387.3355712890625	307.06689453125	29	13
1	1069.936279296875	509.47705078125	29	5
2	388.9340515136719	441.6899108886719	29	17
0	625.847900390625	622.6296997070312	29	16
3	549.2225952148438	358.8590393066406	29	22
6	440.0792236328125	227.48187255859375	30	21
5	1006.1055908203125	294.9157409667969	30	4
4	386.8984069824219	308.78472900390625	30	13
7	535.6416625976562	126.61306762695312	30	12
2	388.8654479980469	445.0815124511719	30	17
1	625.4885864257812	622.010986328125	30	16
0	932.7265625	643.3742065429688	30	23
3	547.2032470703125	359.3642272949219	30	22
0	938.74853515625	638.6574096679688	31	23
1	626.3269653320312	621.1390991210938	31	16
2	389.49609375	446.5166931152344	31	17
3	548.1295166015625	358.9106750488281	31	22
4	385.8890686035156	310.1308898925781	31	13
5	1005.4943237304688	295.933837890625	31	4
6	436.4060974121094	227.75753784179688	31	21
7	538.0409545898438	125.66720581054688	31	12
5	434.7053527832031	228.2437744140625	32	21
6	540.0410766601562	125.2606201171875	32	12
4	1005.4019165039062	296.8078308105469	32	4
0	1415.07373046875	436.1773986816406	32	24
2	548.7461547851562	357.99139404296875	32	22
1	389.8755187988281	449.8887939453125	32	17
3	385.4978332519531	312.5285949707031	32	13
4	428.05987548828125	230.40695190429688	33	21
3	1007.4754028320312	297.1291809082031	33	4
5	539.7835083007812	127.11683654785156	33	12
1	548.3269653320312	357.4537353515625	33	22
0	389.8420104980469	453.4286804199219	33	17
2	385.219482421875	315.0018310546875	33	13
0	389.6730041503906	460.5728759765625	34	17
1	548.965576171875	355.99169921875	34	22
2	386.69122314453125	311.8875732421875	34	13
3	424.7607116699219	231.94090270996094	34	21
4	538.7992553710938	128.40859985351562	34	12
5	1009.6292724609375	206.65675354003906	35	15
6	539.3842163085938	128.75096130371094	35	12
4	416.0420227050781	234.87120056152344	35	21
1	1414.9207763671875	432.05035400390625	35	24
2	550.3196411132812	354.04608154296875	35	22
3	386.87567138671875	312.8385009765625	35	13
0	390.08355712890625	467.5500793457031	35	17
4	410.56158447265625	237.29856872558594	36	21
3	387.14453125	314.34271240234375	36	13
5	541.4901123046875	128.02447509765625	36	12
1	1414.366455078125	431.3246154785156	36	24
0	390.13800048828125	470.3749084472656	36	17
2	550.8019409179688	353.67742919921875	36	22
0	1065.969482421875	487.42742919921875	37	5
1	390.1772155761719	474.4625549316406	37	17
2	1412.1649169921875	429.82470703125	37	24
3	550.947998046875	354.3707275390625	37	22
4	387.02789306640625	317.3688659667969	37	13
5	405.3246154785156	238.58143615722656	37	21
6	542.033447265625	126.8701400756836	37	12
4	543.7882080078125	125.29782104492188	38	12
2	385.8753662109375	321.34967041015625	38	13
3	403.42510986328125	238.95774841308594	38	21
0	389.8466491699219	477.8067321777344	38	17
1	551.3759155273438	355.2424011230469	38	22
6	545.4072265625	126.7784194946289	39	12
0	1101.6265869140625	679.0047607421875	39	26
1	389.62603759765625	480.62841796875	39	17
2	384.5745849609375	324.4540710449219	39	13
3	577.9754638671875	259.491943359375	39	11
4	400.9932556152344	238.50657653808594	39	21
5	710.0562133789062	202.6781005859375	39	25
6	710.5369873046875	204.51116943359375	40	25
5	400.924560546875	237.6534423828125	40	21
4	384.2515563964844	325.7584533691406	40	13
1	1077.513671875	566.4663696289062	40	0
2	1071.5550537109375	526.4797973632812	40	5
0	1093.5606689453125	675.7699584960938	40	26
7	546.7576904296875	126.13426208496094	40	12
3	389.8170166015625	484.3384704589844	40	17
7	710.587890625	206.3499298095703	41	25
6	400.923583984375	237.730224609375	41	21
8	549.088134765625	127.20206451416016	41	12
4	384.2894287109375	326.3539733886719	41	13
5	579.3079223632812	259.6786193847656	41	11
