	x	y	frame	particle
3	1233.875	871.25	37	44
2	1235.0	885.5	37	43
1	841.3333333333334	931.6666666666666	37	38
0	1372.5	932.0	37	18
4	625.15	725.15	37	34
0	1235.0	885.5	38	43
1	1234.3333333333333	871.8333333333334	38	44
2	624.4333333333333	724.4333333333333	38	34
3	622.1428571428571	714.8571428571429	38	13
4	1026.0	346.0	38	27
5	1019.2222222222222	343.6666666666667	38	25
6	771.5	84.5	38	37
7	612.4444444444445	86.37037037037037	38	24
6	611.85	86.3	39	24
5	761.7142857142857	289.2857142857143	39	39
4	1018.9	343.0	39	25
1	1234.5	871.5	39	44
2	626.6363636363636	728.7272727272727	39	34
0	1235.0	886.6666666666666	39	43
3	622.0	715.5	39	13
0	1235.0	887.0	40	43
1	1234.5	871.5	40	44
2	627.5	728.5833333333334	40	34
3	1018.5555555555555	340.8888888888889	40	25
4	760.2666666666667	288.46666666666664	40	39
5	611.375	86.375	40	24
7	610.9285714285714	85.92857142857143	41	24
6	758.2962962962963	287.037037037037	41	39
4	1590.0	692.5	41	46
5	1018.5	340.125	41	25
2	628.75	729.0	41	34
0	1235.0	887.0	41	43
3	626.0	716.0	41	13
1	1234.0	872.0	41	44
0	1005.5	804.0	42	10
1	628.8333333333334	729.5	42	34
2	626.5714285714286	716.2857142857143	42	13
3	1018.4545454545455	339.3636363636364	42	25
4	757.2285714285714	286.42857142857144	42	39
6	757.7142857142857	285.9142857142857	43	39
5	1018.7692307692307	338.84615384615387	43	25
3	627.1538461538462	716.2307692307693	43	13
4	378.0	381.5	43	33
1	1006.4	803.1	43	10
0	838.7777777777778	919.8888888888889	43	38
2	630.0	731.5	43	34
0	839.0	919.6875	44	38
1	1005.9166666666666	803.0833333333334	44	11
2	994.5	800.0	44	10
3	630.6	732.2	44	34
4	627.1666666666666	717.5833333333334	44	13
5	378.6	381.2	44	33
6	1015.6666666666666	340.6666666666667	44	25
7	1019.7777777777778	337.77777777777777	44	27
8	758.2702702702703	285.27027027027026	44	39
4	379.8	380.2	45	33
5	1015.9	339.5	45	25
6	759.2432432432432	285.13513513513516	45	39
2	630.5	733.5	45	34
1	1006.5	803.0	45	11
0	838.5	919.6428571428571	45	38
3	628.0	720.1538461538462	45	13
0	836.8	920.2	46	38
1	630.5555555555555	735.2222222222222	46	34
2	628.9375	721.0625	46	13
3	628.0	713.0	46	45
4	380.0	380.0	46	33
5	760.0	284.97058823529414	46	39
5	762.7894736842105	285.4736842105263	47	39
3	380.0	381.5	47	33
4	1014.0	341.5	47	25
1	630.6666666666666	736.5833333333334	47	34
0	1234.0	877.0	47	44
2	628.5	722.875	47	13
0	1236.375	890.125	48	43
1	1235.0	877.3333333333334	48	44
2	631.0	736.3333333333334	48	34
3	628.8235294117648	723.7058823529412	48	13
4	1595.0	701.0	48	46
5	763.5945945945946	286.0	48	39
6	797.0909090909091	67.27272727272727	48	37
7	1020.5	347.5	49	27
10	796.4	68.8	49	37
9	767.2352941176471	289.70588235294116	49	39
8	1014.0	344.0	49	25
6	380.0	384.5	49	33
1	1235.4285714285713	877.7142857142857	49	44
4	1305.2	570.8	49	47
3	628.3181818181819	726.1363636363636	49	13
2	630.4444444444445	737.7222222222222	49	34
5	377.0	392.0	49	31
0	1237.2	890.4	49	43
11	796.0588235294117	69.94117647058823	50	37
10	605.5	85.5	50	24
9	767.4545454545455	290.6818181818182	50	39
8	1013.0	344.0	50	25
7	1021.5	348.2857142857143	50	27
6	380.0	385.5	50	33
5	377.0	392.0	50	31
4	1305.4	571.1	50	47
3	1595.0	702.5	50	46
2	629.1395348837209	732.8139534883721	50	34
1	1235.142857142857	878.2857142857143	50	44
0	1236.5	891.25	50	43
11	795.3888888888889	70.55555555555556	51	37
10	605.75	86.0	51	24
9	766.76	291.16	51	39
8	1013.0	344.0	51	25
7	1021.9444444444445	348.6111111111111	51	27
6	380.5	386.0	51	33
4	1305.7777777777778	571.3333333333334	51	47
3	1594.2	702.8	51	46
2	629.3191489361702	733.936170212766	51	34
1	1234.888888888889	878.3333333333334	51	44
0	1236.5	891.25	51	43
5	377.0	392.0	51	31
5	376.75	392.0	52	31
11	604.4	85.7	52	24
10	1284.0	138.0	52	48
9	766.9583333333334	291.5833333333333	52	39
8	1012.5	345.0	52	25
7	1020.3157894736842	348.05263157894734	52	27
3	1595.0	703.5	52	46
4	1305.909090909091	571.8181818181819	52	47
12	795.35	70.8	52	37
2	629.1777777777778	734.3111111111111	52	34
1	1235.4285714285713	878.2857142857143	52	44
0	1237.6666666666667	890.6666666666666	52	43
6	380.5	386.0	52	33
11	795.1739130434783	71.1304347826087	53	37
7	1019.0	347.7142857142857	53	27
10	604.5	85.66666666666667	53	24
9	766.5454545454545	292.04545454545456	53	39
6	382.6666666666667	382.6666666666667	53	33
8	1011.0	344.25	53	25
4	1305.6363636363637	571.8181818181819	53	47
3	1594.2	703.2	53	46
2	630.5555555555555	735.7222222222222	53	34
1	1235.3333333333333	878.5	53	44
0	1238.857142857143	891.2857142857143	53	43
5	378.5882352941176	389.2352941176471	53	31
11	794.8636363636364	70.4090909090909	54	37
10	603.6363636363636	85.27272727272727	54	24
9	766.1764705882352	292.29411764705884	54	39
8	1011.0	343.6666666666667	54	25
7	1018.2857142857143	347.57142857142856	54	27
6	383.0	381.5	54	33
4	1306.2857142857142	572.1428571428571	54	47
3	1594.5	703.5	54	46
2	631.6129032258065	735.6129032258065	54	34
1	1237.2	878.6	54	44
0	1238.6666666666667	892.2222222222222	54	43
5	377.6666666666667	390.44444444444446	54	31
5	383.3333333333333	380.3333333333333	55	33
7	766.2727272727273	292.54545454545456	55	39
6	1010.0	343.0	55	25
4	377.75	390.0	55	31
8	793.7619047619048	69.80952380952381	55	37
2	632.36	734.52	55	34
1	1236.0	878.5	55	44
0	1239.2	892.5	55	43
3	632.9	725.5	55	13
11	792.8846153846154	68.65384615384616	56	37
9	603.0	82.0	56	24
8	768.8	293.8	56	39
7	1011.1538461538462	341.15384615384613	56	25
6	383.75	379.0	56	33
10	804.3333333333334	73.66666666666667	56	49
4	633.5675675675676	731.7297297297297	56	13
3	638.2	747.2	56	34
2	1236.5	879.0	56	44
1	1240.0	881.0	56	50
0	1239.1	892.5	56	43
5	378.6	388.6	56	31
9	791.1904761904761	66.42857142857143	57	37
8	803.6666666666666	71.5	57	49
7	795.25	72.0	57	51
6	768.0	293.5	57	39
5	1011.5714285714286	340.57142857142856	57	25
3	378.85714285714283	387.85714285714283	57	31
2	634.3055555555555	732.9166666666666	57	13
1	638.3636363636364	746.6363636363636	57	34
0	1240.0	891.0	57	43
4	384.2	378.8	57	33
9	790.1578947368421	66.0	58	37
8	803.4615384615385	71.07692307692308	58	49
7	769.2	293.4	58	39
5	384.77777777777777	378.3333333333333	58	33
6	1012.0625	340.125	58	25
3	634.6857142857143	733.7142857142857	58	13
2	638.8	747.5	58	34
1	993.5	798.0	58	10
0	1240.3333333333333	894.0	58	43
4	379.2857142857143	387.2857142857143	58	31
8	802.8888888888889	70.77777777777777	59	49
7	600.5	80.16666666666667	59	24
6	1287.0	141.0	59	48
5	1011.2666666666667	340.73333333333335	59	25
9	789.1578947368421	66.15789473684211	59	37
3	380.4	387.1	59	31
2	636.2941176470588	738.5490196078431	59	13
1	1242.0	886.0	59	50
0	1241.1666666666667	894.0	59	43
4	385.14285714285717	378.2857142857143	59	33
9	788.8095238095239	67.33333333333333	60	37
8	803.2	72.8	60	49
7	600.0	81.0	60	24
6	1287.0	142.0	60	48
5	1009.5555555555555	342.44444444444446	60	25
4	385.2	378.4	60	33
2	637.4634146341464	743.2439024390244	60	34
1	1242.25	886.0	60	50
0	1241.4285714285713	895.0	60	43
3	380.6666666666667	387.6666666666667	60	31
7	771.5	294.0	61	39
10	787.65	68.1	61	37
9	802.6666666666666	73.66666666666667	61	49
8	599.5	82.5	61	24
6	1009.0	343.44444444444446	61	25
2	637.4761904761905	743.8095238095239	61	34
4	381.6666666666667	387.77777777777777	61	31
3	1301.0	574.5	61	47
1	1242.7142857142858	886.2857142857143	61	50
0	1241.5	895.0	61	43
5	385.0	379.0	61	33
13	787.3333333333334	70.0	62	37
12	794.5	74.0	62	51
11	599.5	83.5	62	24
10	763.5	295.5	62	36
9	772.5	294.5	62	39
8	1008.7142857142857	344.7142857142857	62	25
7	1014.0769230769231	349.0769230769231	62	27
5	1301.0	575.3333333333334	62	47
4	1593.5	709.0	62	46
3	636.829268292683	745.8780487804878	62	34
2	1237.5	884.0	62	44
1	1242.25	886.25	62	50
0	1242.0555555555557	895.4444444444445	62	43
6	382.3333333333333	387.22222222222223	62	31
7	772.5	294.5	63	39
10	599.0	84.0	63	24
9	771.4285714285714	87.0	63	51
11	789.5	72.16666666666667	63	49
8	760.5	87.0	63	37
6	763.6666666666666	295.3333333333333	63	36
2	1301.5	576.1666666666666	63	47
4	382.0	388.0	63	31
0	1241.9	890.85	63	43
5	1013.0555555555555	348.6111111111111	63	27
3	379.0	396.0	63	32
1	636.952380952381	747.2380952380952	63	34
13	789.78125	72.75	64	49
12	599.5	84.0	64	24
11	766.96875	87.5	64	51
10	773.7692307692307	294.6923076923077	64	39
9	764.5	295.0	64	36
7	382.7142857142857	387.85714285714283	64	31
8	1012.8235294117648	349.0	64	27
5	1301.2	576.2	64	47
4	1593.5	711.0	64	46
3	636.609756097561	748.0731707317074	64	13
2	644.7142857142857	760.2857142857143	64	34
1	1240.842105263158	885.2105263157895	64	50
0	1242.9	895.95	64	43
6	379.0	396.0	64	32
9	789.4545454545455	73.03030303030303	65	49
8	599.5	84.0	65	24
7	766.7272727272727	87.63636363636364	65	51
6	774.5	294.59090909090907	65	39
5	1013.7777777777778	349.1111111111111	65	27
4	382.4	387.8	65	31
2	636.547619047619	748.5952380952381	65	13
1	644.8	760.0	65	34
0	1242.8536585365853	891.6585365853658	65	43
3	1301.4	576.2	65	47
8	790.9756097560976	73.95121951219512	66	49
6	766.4705882352941	88.0	66	51
5	776.7368421052631	294.2105263157895	66	39
4	1013.7142857142857	349.2857142857143	66	27
7	599.0	83.0	66	24
2	1301.25	576.0	66	47
1	641.1724137931035	753.6034482758621	66	13
0	1243.081081081081	891.4864864864865	66	43
3	383.8	386.4	66	31
0	1244.1935483870968	891.741935483871	67	43
1	641.8	754.26	67	13
2	383.7142857142857	385.2857142857143	67	31
3	776.7391304347826	293.7826086956522	67	39
4	765.5	87.66666666666667	67	51
5	788.5333333333333	73.23333333333333	67	49
5	775.8717948717949	291.94871794871796	68	39
7	788.258064516129	72.83870967741936	68	49
6	761.5	88.3125	68	37
4	384.5	383.125	68	31
3	642.0943396226415	753.5094339622641	68	13
2	1244.59375	891.625	68	43
1	842.8	914.8	68	38
0	849.5	916.7	68	52
0	848.2380952380952	915.5714285714286	69	52
1	1245.121212121212	890.2727272727273	69	43
2	643.375	754.1428571428571	69	13
3	384.6666666666667	382.22222222222223	69	31
4	389.0	374.0	69	33
5	776.3714285714286	291.1714285714286	69	39
6	758.2	87.4	69	37
7	790.7777777777778	73.77777777777777	69	49
8	784.0	71.07142857142857	69	51
8	783.7333333333333	70.86666666666666	70	51
7	758.0	87.0	70	37
6	776.8461538461538	290.5128205128205	70	39
5	389.0	372.5	70	33
0	1454.2	913.4	70	53
3	644.4727272727273	755.0	70	13
2	1245.6470588235295	890.4705882352941	70	43
1	847.5	914.8461538461538	70	52
4	384.8888888888889	382.22222222222223	70	31
6	776.9722222222222	290.0	71	39
8	783.4285714285714	71.14285714285714	71	51
7	757.5	87.0	71	37
5	388.75	373.0	71	33
4	385.09090909090907	381.27272727272725	71	31
3	645.5166666666667	755.7	71	13
2	1245.7575757575758	890.2424242424242	71	43
1	846.2413793103449	914.1034482758621	71	52
0	1454.5	913.5	71	53
0	1454.6666666666667	913.3333333333334	72	53
1	845.96875	913.84375	72	52
2	1246.3461538461538	892.0	72	43
3	646.7333333333333	756.85	72	13
4	385.0	381.0	72	31
5	388.5	373.5	72	33
6	777.1578947368421	290.2894736842105	72	39
7	781.0	70.5	72	51
8	781.5	71.0	73	51
7	773.25	288.6666666666667	73	36
6	781.2857142857143	292.3809523809524	73	39
5	388.75	372.375	73	33
0	1454.5	913.0	73	53
3	647.8166666666667	758.2666666666667	73	13
2	1246.12	892.56	73	43
1	846.5	914.0333333333333	73	52
4	385.0	381.0	73	31
6	772.8	288.6	74	36
8	756.5	89.0	74	37
7	771.5	89.0	74	51
5	781.875	292.9375	74	39
3	384.7	381.0	74	31
2	648.75	760.1	74	13
1	1246.0434782608695	893.2608695652174	74	43
0	848.72	914.72	74	52
4	388.3333333333333	372.3333333333333	74	33
4	649.1864406779661	762.0677966101695	75	13
0	849.7391304347826	914.8695652173913	75	52
1	1247.111111111111	896.2222222222222	75	43
2	1240.8	892.8	75	44
3	1247.5	891.5	75	50
5	384.6666666666667	381.22222222222223	75	31
6	780.7619047619048	293.9047619047619	75	39
7	756.1111111111111	89.66666666666667	75	37
8	769.3333333333334	88.88888888888889	75	51
7	779.9444444444445	295.22222222222223	76	39
9	769.4444444444445	89.38888888888889	76	51
6	385.5	381.5	76	31
8	756.0	90.75	76	37
5	649.4426229508197	762.7540983606557	76	13
0	849.7391304347826	915.2173913043479	76	52
3	1240.5833333333333	894.5	76	50
2	1244.0	895.0	76	43
1	1251.111111111111	905.4444444444445	76	54
