	x	y	frame	particle
0	1207.4647216796875	621.2316284179688	3	0
0	1166.6209716796875	646.3155517578125	24	0
0	1156.2310791015625	647.7796630859375	25	0
0	1133.4605712890625	652.5156860351562	26	0
0	1119.6573486328125	648.5826416015625	27	0
0	1110.52099609375	651.7462768554688	28	0
0	1101.46337890625	659.2412109375	29	0
0	1095.3961181640625	664.6160888671875	30	0
0	1059.4598388671875	692.0992431640625	31	0
0	1034.6951904296875	705.320068359375	32	0
0	1006.1710205078125	724.1748657226562	33	0
0	985.872802734375	740.8941650390625	34	0
0	959.6763305664062	752.6578369140625	35	0
0	950.9583740234375	756.6006469726562	36	0
0	941.2924194335938	761.337646484375	37	0
0	936.04248046875	763.0396118164062	38	0
0	929.4746704101562	766.63232421875	39	0
0	920.3486328125	771.4019775390625	40	0
0	910.42919921875	777.3197021484375	41	0
0	858.6925659179688	766.3692016601562	48	0
0	840.8509521484375	763.3746337890625	49	0
0	821.435546875	760.1704711914062	50	0
0	798.6704711914062	755.5172729492188	51	0
0	777.9237670898438	750.3224487304688	52	0
0	754.55126953125	743.9618530273438	53	0
0	742.7996826171875	740.3543701171875	54	0
0	732.4495239257812	737.6329956054688	55	0
0	724.096923828125	735.2577514648438	56	0
0	716.4644165039062	733.142822265625	57	0
0	721.054443359375	733.50048828125	58	0
0	714.8028564453125	732.43310546875	59	0
0	710.2037963867188	731.150390625	60	0
0	711.9694213867188	731.3585815429688	61	0
0	705.2046508789062	729.89697265625	62	0
0	705.9799194335938	729.5740356445312	63	0
0	719.3894653320312	727.5667724609375	64	0
0	688.8675537109375	714.2515869140625	65	0
0	666.7304077148438	688.6913452148438	66	0
0	650.4784545898438	652.1167602539062	67	0
0	652.7174072265625	636.9630737304688	68	0
0	650.0987548828125	623.6077270507812	69	0
0	651.1527099609375	608.6006469726562	70	0
0	642.51904296875	591.40478515625	71	0
0	638.18994140625	569.9506225585938	72	0
0	635.9601440429688	552.489990234375	73	0
0	624.89794921875	527.9185180664062	74	0
0	622.2710571289062	503.0456848144531	75	0
0	614.6171264648438	490.1120300292969	76	0
0	610.6337280273438	476.66461181640625	77	0
0	608.6564331054688	468.17584228515625	78	0
0	608.1141357421875	464.5346984863281	79	0
0	608.2041625976562	470.3078918457031	80	0
0	610.54541015625	465.4369812011719	81	0
0	609.940673828125	469.1260070800781	82	0
0	611.5646362304688	465.0323791503906	83	0
0	609.8751220703125	465.79931640625	84	0
0	610.5252075195312	465.40924072265625	85	0
0	609.8674926757812	457.80194091796875	86	0
0	610.908935546875	465.9473876953125	87	0
0	608.7998046875	456.1671447753906	88	0
0	609.1654663085938	463.9618225097656	89	0
0	609.5635375976562	460.10736083984375	90	0
0	608.992919921875	442.5620422363281	91	0
0	609.425537109375	410.98406982421875	92	0
0	615.7283325195312	395.69122314453125	93	0
0	623.3485717773438	378.7479248046875	94	0
0	644.1712036132812	350.55328369140625	95	0
0	656.0614013671875	343.5147705078125	96	0
0	660.5641479492188	343.3170166015625	97	0
0	673.1597900390625	332.01116943359375	98	0
0	689.8394775390625	317.52032470703125	99	0
0	706.5032958984375	308.4124450683594	100	0
0	716.1749267578125	289.7975158691406	101	0
0	725.9924926757812	286.33868408203125	102	0
0	739.0056762695312	270.8937072753906	103	0
0	759.3631591796875	251.05885314941406	104	0
0	766.5899047851562	240.15640258789062	105	0
0	774.1796264648438	232.6107635498047	106	0
0	777.0662231445312	232.45655822753906	107	0
0	769.1632080078125	241.56668090820312	108	0
0	771.9150390625	245.77931213378906	109	0
0	771.0131225585938	247.04629516601562	110	0
0	778.6448974609375	250.4070587158203	111	0
0	777.1720581054688	254.54238891601562	112	0
