	x	y	frame	particle
0	959.5	539.5	1.0	0.0
1	959.5	539.5	1.0	1.0
2	343.0	610.0	3.0	2.0
3	347.6363636363636	630.3818181818182	4.0	2.0
4	348.030303030303	625.7272727272727	6.0	2.0
5	345.87719298245617	651.3684210526316	60.0	2.0
6	342.67857142857144	648.3809523809524	65.0	2.0
7	342.3956043956044	648.6813186813187	66.0	2.0
8	343.0	650.0	67.0	2.0
9	343.5625	649.0208333333334	68.0	2.0
10	344.02150537634407	648.6881720430108	69.0	2.0
11	343.5684210526316	649.6631578947369	70.0	2.0
12	342.80645161290323	650.6989247311828	71.0	2.0
13	342.3854166666667	651.9895833333334	72.0	2.0
14	342.5	653.8586956521739	73.0	2.0
15	343.30526315789473	654.1578947368421	74.0	2.0
16	343.0860215053763	654.3440860215054	75.0	2.0
17	342.0217391304348	654.1739130434783	76.0	2.0
18	340.75	653.3695652173913	77.0	2.0
19	340.69473684210527	653.9157894736842	78.0	2.0
20	342.0869565217391	656.3478260869565	79.0	2.0
21	342.8333333333333	658.0520833333334	80.0	2.0
22	342.66	659.57	81.0	2.0
23	342.8673469387755	659.2448979591836	82.0	2.0
24	344.46534653465346	660.009900990099	83.0	2.0
25	345.1666666666667	660.6372549019608	84.0	2.0
26	345.2352941176471	662.0	85.0	2.0
27	344.82	663.23	86.0	2.0
28	343.8712871287129	665.1980198019802	87.0	2.0
29	343.97058823529414	666.1666666666666	88.0	2.0
30	344.6875	666.5	89.0	2.0
31	346.7368421052632	666.3578947368421	90.0	2.0
32	347.62626262626264	666.6565656565657	91.0	2.0
33	347.2843137254902	668.6960784313726	92.0	2.0
34	346.9807692307692	672.0384615384615	93.0	2.0
35	346.74528301886795	673.9905660377359	94.0	2.0
36	347.6261682242991	674.3271028037383	95.0	2.0
37	348.5700934579439	673.8785046728972	96.0	2.0
38	349.5	673.3425925925926	97.0	2.0
39	349.34285714285716	674.3333333333334	98.0	2.0
40	349.2641509433962	675.688679245283	99.0	2.0
41	348.92452830188677	677.4528301886793	100.0	2.0
42	348.85849056603774	678.3018867924528	101.0	2.0
43	348.875	678.2980769230769	102.0	2.0
44	348.9117647058824	677.6274509803922	103.0	2.0
45	349.2621359223301	677.7864077669902	104.0	2.0
46	349.62745098039215	678.1274509803922	105.0	2.0
47	350.3235294117647	680.0	106.0	2.0
48	351.14018691588785	682.1869158878504	107.0	2.0
49	352.3302752293578	682.6422018348624	108.0	2.0
50	352.25471698113205	682.6320754716982	109.0	2.0
51	353.2277227722772	681.7920792079208	110.0	2.0
52	353.45	681.95	111.0	2.0
53	353.98	682.7	112.0	2.0
54	355.1057692307692	684.0288461538462	113.0	2.0
55	356.6698113207547	686.4716981132076	114.0	2.0
56	357.04716981132077	687.0	115.0	2.0
57	357.24528301886795	685.8679245283018	116.0	2.0
58	358.09708737864077	685.6893203883495	117.0	2.0
59	358.9519230769231	685.6538461538462	118.0	2.0
60	359.31067961165047	686.9417475728155	119.0	2.0
61	359.421568627451	688.3039215686274	120.0	2.0
62	359.19607843137254	689.0392156862745	121.0	2.0
63	359.1142857142857	690.6571428571428	122.0	2.0
64	360.04761904761904	691.3809523809524	123.0	2.0
65	360.24038461538464	691.0384615384615	124.0	2.0
66	360.6	691.8	125.0	2.0
67	360.1650485436893	692.9805825242719	126.0	2.0
68	360.3142857142857	695.4857142857143	127.0	2.0
69	360.287037037037	697.9629629629629	128.0	2.0
70	360.688679245283	698.3490566037735	129.0	2.0
71	361.1284403669725	698.2293577981651	130.0	2.0
72	361.1775700934579	699.0467289719626	131.0	2.0
73	360.9807692307692	700.3365384615385	132.0	2.0
74	360.32380952380953	702.3428571428572	133.0	2.0
75	360.688679245283	704.4905660377359	134.0	2.0
76	361.0943396226415	705.0	135.0	2.0
77	361.12264150943395	705.8490566037735	136.0	2.0
78	361.1320754716981	705.8679245283018	137.0	2.0
79	361.38317757009344	706.6728971962617	138.0	2.0
80	361.8703703703704	706.3888888888889	139.0	2.0
81	362.0	707.8130841121496	140.0	2.0
82	361.963963963964	708.8648648648649	141.0	2.0
83	361.78761061946904	709.8318584070796	142.0	2.0
84	361.0990990990991	709.3693693693693	143.0	2.0
85	361.05607476635515	708.1869158878504	144.0	2.0
86	361.57547169811323	707.1792452830189	145.0	2.0
87	362.3551401869159	707.1869158878504	146.0	2.0
88	361.9158878504673	708.0093457943925	147.0	2.0
89	361.30841121495325	708.8504672897196	148.0	2.0
90	360.70093457943926	709.8878504672897	149.0	2.0
91	360.16346153846155	708.8846153846154	150.0	2.0
92	1010.6781609195402	808.4827586206897	3.0	3.0
93	1009.5	810.0119047619048	4.0	3.0
94	1002.641975308642	803.5432098765432	21.0	3.0
95	1003.9239130434783	803.2173913043479	22.0	3.0
96	1004.0	803.5	23.0	3.0
97	998.7631578947369	801.7894736842105	27.0	3.0
98	1000.4479166666666	800.78125	28.0	3.0
99	994.5	799.0147058823529	29.0	3.0
100	989.3818181818182	798.3636363636364	82.0	3.0
101	993.2465753424658	798.0410958904109	83.0	3.0
102	993.3176470588236	798.3294117647059	84.0	3.0
103	989.1805555555555	797.8055555555555	85.0	3.0
104	987.2027027027027	799.0675675675676	86.0	3.0
105	986.6973684210526	799.5526315789474	87.0	3.0
106	986.36	798.8266666666667	88.0	3.0
107	991.6736842105263	798.5263157894736	89.0	3.0
108	993.2941176470588	797.2843137254902	90.0	3.0
109	994.373831775701	797.4859813084112	91.0	3.0
110	992.9705882352941	796.7450980392157	92.0	3.0
111	990.9784946236559	797.2150537634409	93.0	3.0
112	990.1612903225806	796.2795698924731	94.0	3.0
113	990.6989247311828	795.4193548387096	95.0	3.0
114	992.1111111111111	795.0505050505051	96.0	3.0
115	992.62	794.05	97.0	3.0
116	993.1414141414141	794.1414141414141	98.0	3.0
117	992.2886597938144	794.4226804123712	99.0	3.0
118	990.9795918367347	794.469387755102	100.0	3.0
119	989.8736842105263	794.1473684210526	101.0	3.0
120	990.0	794.0204081632653	102.0	3.0
121	990.5102040816327	793.0	103.0	3.0
122	991.1717171717172	792.89898989899	104.0	3.0
